,approve_estimate,disapprove_estimate,timestamp
1590,41.3702,53.74371,2018-03-30
1593,41.06978,53.94359,2018-03-29
1596,41.04078,54.00505,2018-03-28
1600,41.54846,53.70638,2018-03-27
1603,42.51164,52.90974,2018-03-26
1606,42.35456,52.825309999999995,2018-03-25
1610,41.95313,52.8746,2018-03-25
1611,42.10215,52.51001,2018-03-23
1614,41.91279,52.78131,2018-03-22
1617,41.845690000000005,52.80284,2018-03-21
1620,42.0102,52.846540000000005,2018-03-20
1623,41.74577,53.18254,2018-03-19
1626,41.56427,53.644940000000005,2018-03-18
1631,41.56427,53.644940000000005,2018-03-18
1633,41.56427,53.644940000000005,2018-03-16
1635,42.00203,53.18635,2018-03-15
1638,41.90339,53.298080000000006,2018-03-14
1641,42.08287,53.00063000000001,2018-03-13
1644,41.94425,52.77081,2018-03-12
1647,41.959379999999996,52.779740000000004,2018-03-12
1652,41.959379999999996,52.779740000000004,2018-03-12
1654,41.959379999999996,52.779740000000004,2018-03-09
1656,41.920759999999994,52.989340000000006,2018-03-08
1659,41.3746,53.73106,2018-03-07
1662,42.360440000000004,53.10275,2018-03-06
1666,42.33316,53.538019999999996,2018-03-05
1668,42.28911,53.51625,2018-03-05
1673,42.28911,53.51625,2018-03-05
1675,42.28911,53.51625,2018-03-02
1677,42.70711,53.1734,2018-03-01
1680,42.09689,53.71484,2018-02-28
1683,41.69873,53.974680000000006,2018-02-27
1687,41.622820000000004,54.165319999999994,2018-02-26
1689,41.42073,54.538059999999994,2018-02-25
1692,42.07542,53.40005,2018-02-25
1695,42.07542,53.40005,2018-02-23
1698,41.70066,53.646,2018-02-22
1701,41.584959999999995,53.84543000000001,2018-02-21
1704,43.03841,52.0429,2018-02-20
1707,43.04725,51.96658,2018-02-19
1711,43.03395,51.99947,2018-02-19
1714,43.03395,51.99947,2018-02-19
1716,43.03395,51.99947,2018-02-16
1720,43.007509999999996,52.13282,2018-02-15
1722,43.15522,51.87932,2018-02-14
1725,42.799640000000004,52.69311999999999,2018-02-13
1728,43.30393,52.309490000000004,2018-02-12
1731,43.31694,52.39967,2018-02-12
1736,43.31694,52.39967,2018-02-12
1737,43.31694,52.39967,2018-02-09
1740,43.326159999999994,52.06881,2018-02-08
1743,43.29857,52.21658,2018-02-07
1746,42.77346,52.30897,2018-02-06
1749,42.46733,52.630019999999995,2018-02-05
1752,42.38263,52.749669999999995,2018-02-05
1756,42.38263,52.749669999999995,2018-02-03
1758,42.3483,52.75233000000001,2018-02-02
1761,42.01125,53.27848,2018-02-01
1764,41.70512,53.583459999999995,2018-01-31
1767,40.68484,55.03505,2018-01-30
1771,40.38136,55.4905,2018-01-29
1774,40.48121,55.45601,2018-01-29
1778,40.48121,55.45601,2018-01-29
1779,40.48121,55.45601,2018-01-26
1782,40.7399,55.1729,2018-01-25
1785,41.142590000000006,54.98185,2018-01-24
1788,40.41182,55.017480000000006,2018-01-23
1791,40.72579,54.584419999999994,2018-01-22
1794,41.39082,54.03265,2018-01-21
1797,41.31607,54.06738000000001,2018-01-21
1800,41.31607,54.06738000000001,2018-01-19
1803,41.49497,53.703680000000006,2018-01-18
1807,41.63647,53.43866,2018-01-17
1809,41.6681,53.28009,2018-01-16
1813,40.84966,54.04315,2018-01-15
1816,40.67689,54.10226,2018-01-15
1819,40.67689,54.10226,2018-01-15
1821,40.67689,54.10226,2018-01-12
1825,40.9217,54.31938,2018-01-11
1827,40.85157,54.47198,2018-01-10
1831,40.5409,54.794059999999995,2018-01-09
1834,40.488479999999996,54.79395,2018-01-08
1837,40.644729999999996,54.73631999999999,2018-01-08
1839,40.644729999999996,54.73631999999999,2018-01-08
1843,40.644729999999996,54.73631999999999,2018-01-05
1845,40.288090000000004,55.00038000000001,2018-01-04
1848,40.21217,55.124430000000004,2018-01-03
1851,39.89989,55.2852,2018-01-02
1856,39.47977,55.76954,2018-01-02
1858,39.47977,55.76954,2017-12-31
1860,39.47977,55.76954,2017-12-30
1863,39.47977,55.76954,2017-12-29
1866,39.59424,55.86306,2017-12-28
1870,39.06779,56.30027,2017-12-27
1872,38.8737,56.643919999999994,2017-12-26
1875,38.84623,56.60856999999999,2017-12-26
1878,38.84623,56.60856999999999,2017-12-24
1881,38.84623,56.60856999999999,2017-12-23
1884,38.84623,56.60856999999999,2017-12-22
1887,38.740590000000005,56.77304,2017-12-21
1890,38.77604,56.78464,2017-12-20
1893,38.20256,57.26283000000001,2017-12-19
1897,38.38718,56.61966999999999,2017-12-18
1899,38.28982,56.81938,2017-12-17
1903,38.28982,56.81938,2017-12-16
1905,38.28982,56.81938,2017-12-15
1908,38.49307,56.5584,2017-12-14
1911,38.08359,56.67448,2017-12-13
1915,39.10435,55.956340000000004,2017-12-12
1917,39.00207,55.85435,2017-12-11
1920,39.03798,55.876180000000005,2017-12-10
1923,39.247279999999996,55.49886,2017-12-09
1926,39.247279999999996,55.49886,2017-12-08
1929,39.37215,55.45115,2017-12-07
1932,40.18172,54.5077,2017-12-06
1935,39.699329999999996,54.95476,2017-12-05
1938,39.90506,55.0077,2017-12-04
1942,40.03389,54.966390000000004,2017-12-03
1944,40.03389,54.966390000000004,2017-12-02
1948,40.03389,54.966390000000004,2017-12-01
1950,40.03595,54.900040000000004,2017-11-30
1953,40.27305,54.68724,2017-11-29
1956,39.71597,55.049730000000004,2017-11-28
1960,40.05172,54.71221,2017-11-27
1963,40.0748,54.76105,2017-11-26
1966,40.0748,54.76105,2017-11-25
